awaywon,awaylost,homewon,homelost,homeWins,homeLosses,homeOvertimeLosses,homeConferenceWins,homeConferenceLosses,homeDivisionWins,homeDivisionLosses,homeShutoutWins,homeConferenceRank,homeDivisionRank,awayWins,awayLosses,awayOvertimeLosses,awayConferenceWins,awayConferenceLosses,awayDivisionWins,awayDivisionLosses,awayShutoutWins,awayConferenceRank,awayDivisionRank,IsClosed,AwayTeam,HomeTeam,AwayTeamMoneyLine,HomeTeamMoneyLine,PointSpread,OverUnder,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,OverPayout,UnderPayout,outcome
5.0,0.0,0.0,5.0,28,42,12,16,34,5,21,3,14,7,40,30,12,26,24,13,13,1,10,5,True,VAN,CHI,40.0,-46.0,-0.5,0.7000000000000001,-67.0,56.0,27.0,27.0,-36.0,-38.0,home
1.0,2.0,2.0,2.0,32,40,10,22,28,8,18,4,12,6,50,21,11,30,20,16,10,11,3,1,True,CGY,DET,-45.0,38.0,0.2,0.6000000000000001,61.0,-75.0,25.0,25.0,-39.0,-35.0,home
0.0,3.0,2.0,3.0,22,49,11,15,35,9,17,3,16,8,54,20,8,30,20,17,9,6,2,1,True,CAR,MON,-44.0,37.0,0.2,0.7000000000000001,61.0,-75.0,25.0,24.0,34.0,-41.0,home
4.0,0.0,1.0,1.0,27,46,9,15,35,9,17,2,14,7,44,26,12,29,21,16,10,8,8,4,True,WAS,NJ,-46.0,39.0,0.2,0.7000000000000001,59.0,-73.0,23.0,22.0,-41.0,34.0,home
2.0,1.0,1.0,3.0,33,42,7,22,28,11,15,2,13,7,32,37,13,17,33,9,17,3,12,6,True,SJ,OTT,-39.0,-35.0,0.2,0.7000000000000001,72.0,-91.0,24.0,24.0,-36.0,-38.0,home
3.0,1.0,0.0,4.0,25,50,7,16,34,10,16,1,16,8,49,27,6,34,16,21,5,4,5,2,True,EDM,ARI,-67.0,55.0,0.2,0.7000000000000001,40.0,-47.0,28.0,28.0,-34.0,-39.0,away
1.0,3.0,1.0,3.0,58,18,6,37,13,19,7,5,1,1,56,19,7,34,16,15,11,7,1,1,True,COL,FLA,36.0,-43.0,-0.5,0.7000000000000001,-75.0,60.0,23.0,23.0,-42.0,35.0,home
3.0,2.0,2.0,1.0,45,30,7,30,20,16,10,4,8,5,52,24,6,35,15,16,10,9,4,2,True,NYR,NAS,-35.0,-39.0,-0.5,0.6000000000000001,-87.0,69.0,26.0,26.0,-37.0,-36.0,home
0.0,4.0,3.0,0.0,39,32,11,28,22,14,12,5,11,6,31,37,14,16,34,11,15,4,13,7,True,ANA,WPG,51.0,-62.0,-0.5,0.6000000000000001,-54.0,45.0,27.0,26.0,-35.0,-38.0,home
4.0,0.0,1.0,2.0,37,38,7,21,29,9,17,2,10,6,37,35,10,24,26,15,11,9,9,5,True,NYI,CBJ,-50.0,42.0,0.2,0.6000000000000001,57.0,-70.0,22.0,22.0,38.0,-45.0,home
0.0,3.0,2.0,2.0,32,39,11,17,33,8,18,1,11,5,51,26,5,31,19,18,8,4,6,4,True,BOS,BUF,-76.0,62.0,0.2,0.6000000000000001,38.0,-45.0,0.0,0.0,-38.0,-35.0,home
1.0,3.0,1.0,4.0,46,30,6,27,23,14,12,2,7,4,44,27,11,21,29,12,14,5,6,3,True,LA,DAL,47.0,-56.0,-0.5,0.6000000000000001,-61.0,51.0,1.0,1.0,38.0,-46.0,home
2.0,2.0,5.0,0.0,54,21,7,34,16,16,10,7,3,2,32,37,13,17,33,9,17,3,12,6,True,SJ,TOR,67.0,-82.0,-0.5,0.7000000000000001,-42.0,35.0,0.0,0.0,34.0,-41.0,away
3.0,2.0,3.0,0.0,43,31,8,27,23,16,10,3,9,4,49,27,6,34,16,21,5,4,5,2,True,EDM,VEG,37.0,-43.0,-0.5,0.7000000000000001,-74.0,60.0,1.0,1.0,-35.0,-39.0,away
2.0,3.0,3.0,3.0,22,49,11,15,35,9,17,3,16,8,32,40,10,22,28,8,18,4,12,6,True,DET,MON,49.0,-59.0,-0.5,0.6000000000000001,-59.0,49.0,3.0,3.0,34.0,-41.0,home
2.0,3.0,2.0,1.0,27,46,9,15,35,9,17,2,14,7,32,39,11,17,33,8,18,1,11,5,True,BUF,NJ,51.0,-62.0,-0.5,0.7000000000000001,-53.0,44.0,3.0,3.0,-36.0,-38.0,home
3.0,3.0,2.0,3.0,33,42,7,22,28,11,15,2,13,7,52,24,6,35,15,16,10,9,4,2,True,NYR,OTT,-45.0,39.0,0.2,0.7000000000000001,58.0,-70.0,1.0,1.0,34.0,-41.0,home
1.0,4.0,2.0,1.0,25,46,11,11,39,8,18,1,15,8,58,18,6,37,13,19,7,5,1,1,True,FLA,PHI,-48.0,41.0,0.2,0.7000000000000001,56.0,-68.0,2.0,2.0,-35.0,-38.0,home
6.0,0.0,3.0,2.0,46,25,11,28,22,14,12,7,7,3,54,21,7,34,16,16,10,7,3,2,True,TOR,PIT,-58.0,48.0,0.2,0.7000000000000001,49.0,-60.0,2.0,2.0,-35.0,-39.0,home
1.0,4.0,3.0,1.0,49,22,11,34,16,17,9,4,4,3,44,27,11,21,29,12,14,5,6,3,True,LA,STL,48.0,-59.0,-0.5,0.6000000000000001,-57.0,47.0,3.0,3.0,-35.0,-39.0,home
1.0,4.0,4.0,1.0,51,23,8,29,21,15,11,3,5,3,56,19,7,34,16,15,11,7,1,1,True,COL,TB,-35.0,-38.0,-0.5,0.7000000000000001,-88.0,70.0,2.0,2.0,-37.0,-37.0,home
1.0,3.0,5.0,0.0,44,26,12,29,21,16,10,8,8,4,50,21,11,30,20,16,10,11,3,1,True,CGY,WAS,43.0,-51.0,-0.5,0.7000000000000001,-59.0,49.0,1.0,1.0,-37.0,-37.0,home
5.0,0.0,0.0,5.0,25,50,7,16,34,10,16,1,16,8,37,35,10,24,26,15,11,9,9,5,True,NYI,ARI,-67.0,57.0,0.2,0.6000000000000001,42.0,-51.0,11.0,10.0,34.0,-41.0,home
2.0,2.0,4.0,0.0,39,32,11,28,22,14,12,5,11,6,45,30,7,30,20,16,10,4,8,5,True,NAS,WPG,37.0,-44.0,-0.5,0.6000000000000001,-77.0,62.0,3.0,3.0,-39.0,-34.0,home
0.0,4.0,2.0,2.0,37,38,7,21,29,9,17,2,10,6,54,20,8,30,20,17,9,6,2,1,True,CAR,CBJ,-50.0,43.0,0.2,0.6000000000000001,53.0,-65.0,2.0,2.0,-37.0,-36.0,away
0.0,5.0,3.0,1.0,53,22,7,30,20,13,13,3,2,2,31,37,14,16,34,11,15,4,13,7,True,ANA,MIN,69.0,-85.0,-0.5,0.6000000000000001,-41.0,34.0,2.0,1.0,-36.0,-38.0,home
3.0,2.0,0.0,4.0,51,26,5,31,19,18,8,4,6,4,32,37,13,17,33,9,17,3,12,6,True,SJ,BOS,58.0,-72.0,-0.5,0.6000000000000001,-46.0,39.0,12.0,12.0,-40.0,33.0,home
3.0,3.0,0.0,6.0,28,42,12,16,34,5,21,3,14,7,32,40,10,22,28,8,18,4,12,6,True,DET,CHI,44.0,-53.0,-0.5,0.6000000000000001,-62.0,51.0,13.0,13.0,-40.0,-34.0,away
3.0,2.0,3.0,2.0,53,22,7,30,20,13,13,3,2,2,45,30,7,30,20,16,10,4,8,5,True,NAS,MIN,48.0,-58.0,-0.5,0.6000000000000001,-57.0,47.0,13.0,12.0,-39.0,-35.0,away
5.0,1.0,4.0,0.0,43,31,8,27,23,16,10,3,9,4,37,35,10,24,26,15,11,9,9,5,True,NYI,VEG,36.0,-42.0,-0.5,0.6000000000000001,-76.0,62.0,14.0,14.0,-36.0,-38.0,home
5.0,1.0,2.0,4.0,32,39,11,17,33,8,18,1,11,5,51,23,8,29,21,15,11,3,5,3,True,TB,BUF,-58.0,48.0,0.2,0.7000000000000001,46.0,-55.0,18.0,18.0,-37.0,-36.0,home
